"Hi, how are you?","i'm doing well , thanks for asking . do you like mc donalds ?","i'm doing well , thanks for asking . do you like mc donalds ?",,
Nice to see you again.,"i have a great one , i hope you have a good one .","i have a great one , i hope you have a good one .",,
Shocking weather today aint it?,i think it is a good thing .,i think it is a good thing .,,
Hello you,"hi , i love it . do you like mc donalds ?","hi , i love it . do you like mc donalds ?",,
Did you have a pleasant weekend?,i did not . i guess they have a good one .,i did not . i guess they have a good one .,,
I really like green eggs and ham...,i agree . did you know that the first president of zimbabwe was called president banana ?,i agree . did you know that the first president of zimbabwe was called president banana ?,,
We're friends,"i think it is a good thing , i think it is a good thing .","i think it is a good thing , i think it is a good thing .",,
"There are 89 horse races on today, I am hoping to watch at least 6 of them",i think that is a lot of money . i think that the us is the only one that is the only one in the nfl .,i think that is a lot of money . i think that the us is the only one that is the only one in the nfl .,,
"You're a nice guy, maybe we could go out for a game of bowls...",i agree . i think that the average nfl game has a phd in the us .,i agree . i think that the average nfl game has a phd in the us .,,
I am always on the computer,"i think it is a good thing , i think it is the only one that is the only one in the us .","i think it is a good thing , i think it is the only one that is the only one in the us .",,
Do you watch or keep up on much basketball? It's definitely a team sport I didn't play much of,"i do . i like the eagles , but i like the eagles . i like the eagles .","i do . i like the eagles , but i like the eagles . i like the eagles .",,
good morning! do you like football?,"i do like football , i like the eagles , i like the eagles , i like the eagles , i like the eagles , i like the eagles ,","i do like football , i like the eagles , i like the eagles , i like the eagles , i like the eagles , i like the eagles ,",,
howdy there. do you like radio? ,"i do , i like the radio , i like to listen to the radio , i like to listen to the radio .","i do , i like the radio , i like to listen to the radio , i like to listen to the radio .",,
"Good afternoon, hope it's going well for you. Are you interested in politics? ","i am a fan of the eagles , but i am not a fan of the president .","i am a fan of the eagles , but i am not a fan of the president .",,
Hello! How are you tonight?,"hi , i am doing well , i am doing well , i am doing well . do you like mc donalds ?","hi , i am doing well , i am doing well , i am doing well . do you like mc donalds ?",,
"I have a friend who is considering engineering, and I should tell her that she'll make more in her lifetime than the average NFL or MLB player","i think it is a lot of money , i think it is a lot of money , i think it is a lot of money , i think it","i think it is a lot of money , i think it is a lot of money , i think it is a lot of money , i think it",,
"Hi, how are you? Do you know much about the Bible?",i do not know . i know that the us government owns 86% of the us .,i do not know . i know that the us government owns 86% of the us .,,
"Hello, do you watch the NFL?","i do . i like the nfl , but i watch the nfl . i watch the nfl . i watch the nfl .","i do . i like the nfl , but i watch the nfl . i watch the nfl . i watch the nfl .",,
Have you heard about the pictures of Odell Beckham doing cocaine?,i have not heard of that . i think it is a good thing .,i have not heard of that . i think it is a good thing .,,
Are you more of a baseball or football fan?,"i am a fan of the eagles , but i like the eagles , but i like the eagles .","i am a fan of the eagles , but i like the eagles , but i like the eagles .",,
